variant,station,count,baseline_rmse,variant_rmse,rmse_delta,rmse_delta_pct,baseline_mae,variant_mae,mae_delta,baseline_r2,variant_r2,r2_delta
lag_only,CA-TP3_ENF_Merged,70034,2.8155723664598,2.688984658704025,-0.12658770775577466,-4.495984875534971,1.5459387207486068,1.4573599418553584,-0.08857877889324839,0.8678747817982677,0.8794883651219185,0.011613583323650811
lag_only,CA-TP4_ENF_Merged,70034,2.9251529152402527,2.6936783017519543,-0.23147461348829834,-7.913248305150111,1.5906841931972335,1.4442332868784804,-0.14645090631875313,0.8476611565389183,0.8708171202338564,0.02315596369493811
lag_only,CH-Crs_GRA_Merged,8689,3.6007448268923525,3.428300454122079,-0.17244437277027336,-4.78913061215456,1.8448330086714544,1.8146018039948346,-0.03023120467661977,0.7945572875939066,0.8137639285329711,0.019206640939064434
lag_only,CH-Fru_GRA_Merged,78817,3.630491039701685,3.6575925302008425,0.027101490499157332,0.7464965538486563,1.8438719080806616,1.9283639432249067,0.08449203514424508,0.7901497368192918,0.7870049927985068,-0.0031447440207850175
lag_only,CN-Yuc_CRO_Merged,33233,3.6558526190087752,4.40998829941346,0.7541356804046844,20.628175120723437,1.8377446203619503,2.1550222743562983,0.31727765399434804,0.859398546613021,0.7954086228944817,-0.06398992371853929
lag_only,CZ-KrP_CRO_Merged,68186,3.9425876623230964,4.409080790125152,0.4664931278020559,11.83215613085908,1.9230614546698976,2.1328282191939896,0.20976676452409193,0.6629815419351164,0.578510185965897,-0.0844713559692194
lag_only,DE-Amv_WET_Merged,17449,4.04965691704298,3.203961188073261,-0.8456957289697189,-20.883145073613736,1.9806186643136772,1.613194155798265,-0.3674245085154122,0.4026065332295218,0.6260629494039427,0.2234564161744209
lag_only,DE-Har_ENF_Merged,43657,2.524834889196612,2.432605822651099,-0.09222906654551322,-3.6528751618629594,1.3461390975457845,1.3796695675522135,0.03353047000642895,0.8260480248808204,0.8385244091013047,0.012476384220484249
lag_only,DE-RuM_CRO_Merged,34267,4.911591836675577,4.918401786938496,0.00680995026291864,0.13865057377259532,2.602424163659307,2.5881090424505904,-0.014315121208716697,0.6758938661631342,0.6749944930737046,-0.000899373089429556
lag_only,DE-RuR_GRA_Merged,78817,3.4219017333018265,3.419390347566489,-0.0025113857353376012,-0.07339152117949163,1.725915809215028,1.7715257470666472,0.045609937851619264,0.7963145113269438,0.7966133773726338,0.0002988660456900716
lag_only,DE-RuS_CRO_Merged,78817,4.877501863572918,5.152473719331552,0.2749718557586345,5.637555114273381,2.465774370661238,2.5732512348826555,0.10747686422141767,0.582963763184658,0.5346170420691064,-0.048346721115551605
lag_only,ES-HeB_ENF_Merged,51951,1.9311561708693281,2.1985395585683047,0.2673833876989766,13.845767200620108,1.0936152015034613,1.2434543615190548,0.1498391600155935,0.6651876547489218,0.5660544499005185,-0.09913320484840338
lag_only,ES-LM2_SAV_Merged,78817,1.543951238834552,1.4742905534880193,-0.06966068534653269,-4.5118449076873635,0.8243180787247064,0.8357983783199597,0.011480299595253318,0.8836550461706073,0.8939168134704528,0.010261767299845515
lag_only,FR-CLt_GRA_Merged,48819,4.09897955774469,3.8055671184143525,-0.2934124393303379,-7.158182547555252,2.264845462086068,2.1373065727551483,-0.1275388893309195,0.13057763560298674,0.2505924320566043,0.12001479645361757
lag_only,FR-Mej_GRA_Merged,52021,4.575836366089389,4.4668011117527575,-0.1090352543366313,-2.3828486338512853,2.297960868123947,2.3183315276471723,0.020370659523225143,0.6421478560491669,0.6589988186075286,0.016850962558361715
