variant,station,baseline_rmse,candidate_rmse,rmse_delta,rmse_delta_percent,outcome
adamw_weight_decay,US-xJR_OSH_Merged,0.9165592449327067,0.8710625077881581,-0.045496737144548605,-4.963862117597095,win
adamw_weight_decay,US-xUN_MF_Merged,2.4790339662831125,2.292866684449723,-0.18616728183338926,-7.509670475088942,win
learned_lag_embedding,AU-MvB_CRO_Merged,6.632921000735733,6.5098049636666895,-0.1231160370690434,-1.8561360380349352,win
learned_lag_embedding,AU-Sil_GRA_Merged,3.7818969144743866,3.688734514670516,-0.09316239980387042,-2.4633775565725133,win
learned_lag_embedding,AU-Sno_EBF_Merged,2.4331816526862817,2.3088832899628398,-0.12429836272344197,-5.108470326751563,win
learned_lag_embedding,CA-TP3_ENF_Merged,2.8155723589413877,2.5814269118122186,-0.23414544712916907,-8.316087007517158,win
learned_lag_embedding,CA-TP4_ENF_Merged,2.9251529042662403,2.561370835578271,-0.36378206868796914,-12.436343691894013,win
learned_lag_embedding,CH-Crs_GRA_Merged,3.6007448521425434,3.52097272842002,-0.07977212372252351,-2.2154339448699587,win
learned_lag_embedding,CH-Fru_GRA_Merged,3.6304910547258857,3.637469937968615,0.006978883242729328,0.19222973249430736,loss
learned_lag_embedding,CN-Yuc_CRO_Merged,3.6558525925268204,4.649476736059256,0.9936241435324358,27.178999108540953,loss
learned_lag_embedding,CZ-KrP_CRO_Merged,3.9425876544000036,3.7947876308409745,-0.1478000235590291,-3.7488075476034486,win
learned_lag_embedding,DE-Amv_WET_Merged,4.049656920184496,3.5907833475431503,-0.458873572641346,-11.331171545772337,win
learned_lag_embedding,DE-Har_ENF_Merged,2.5248348781400183,2.4309883057635426,-0.09384657237647565,-3.716939004170048,win
learned_lag_embedding,DE-RuM_CRO_Merged,4.911591817606319,4.908018749845148,-0.003573067761171167,-0.07274765277446271,win
learned_lag_embedding,DE-RuR_GRA_Merged,3.421901756046453,3.3091891889576077,-0.11271256708884536,-3.2938574840637616,win
learned_lag_embedding,DE-RuS_CRO_Merged,4.877501854900731,4.827760549466581,-0.04974130543415001,-1.0198111023611771,win
learned_lag_embedding,ES-HeB_ENF_Merged,1.9311561437161824,1.8630905211988353,-0.06806562251734705,-3.52460481969968,win
learned_lag_embedding,ES-LM2_SAV_Merged,1.5439512517632008,1.393621972637224,-0.1503292791259767,-9.73665968755813,win
learned_lag_embedding,FR-CLt_GRA_Merged,4.098979543379275,4.143887721897566,0.04490817851829121,1.0955941117302592,loss
learned_lag_embedding,FR-Mej_GRA_Merged,4.57583638948323,4.524723582368654,-0.051112807114576775,-1.1170156177797512,win
learned_lag_embedding,IL-Yat_ENF_Merged,1.9981740888034087,2.362301184566826,0.36412709576341706,18.222991570342693,loss
learned_lag_embedding,IT-BsB_DBF_Merged,2.700881345124452,2.604538758619631,-0.09634258650482108,-3.5670795638148176,win
learned_lag_embedding,IT-SR2_ENF_Merged,3.6563873842556567,3.482232758877894,-0.1741546253777626,-4.763024457629121,win
learned_lag_embedding,KR-ScC_ENF_Merged,3.5758855484089986,3.3851725028687136,-0.190713045540285,-5.333309552514566,win
learned_lag_embedding,RU-Fy2_ENF_Merged,3.1456341068885294,3.1203320021143885,-0.025302104774140854,-0.80435625741508,win
learned_lag_embedding,RU-Fyo_ENF_Merged,2.9469995359303716,2.9857840888486664,0.03878455291829486,1.3160691898802936,loss
learned_lag_embedding,US-CMW_DBF_Merged,2.382826821757898,2.3660768633046234,-0.016749958453274427,-0.7029448510621252,win
learned_lag_embedding,US-CRK_ENF_Merged,2.5601957364932093,2.861957331676609,0.30176159518339984,11.78666110883902,loss
learned_lag_embedding,US-MMS_DBF_Merged,2.7626054892362983,2.6367847889961356,-0.12582070024016279,-4.554421567986712,win
learned_lag_embedding,US-Mo1_CRO_Merged,6.207412030197039,6.4724061550012175,0.2649941248041783,4.2689952514037754,loss
