variant,station,control_rmse,candidate_rmse,rmse_delta,rmse_delta_pct,outcome
gpp_query_pooling,DE-Amv_WET_Merged,4.074442257292313,4.1157083814127,0.041266124120387104,1.0128042444712584,loss
gpp_query_pooling,DE-Har_ENF_Merged,2.5598940282411453,2.62332903589637,0.06343500765522458,2.478032565231209,loss
gpp_query_pooling,DE-RuM_CRO_Merged,4.596330069297273,5.259160654260851,0.6628305849635785,14.4208656682682,loss
gpp_query_pooling,DE-RuR_GRA_Merged,3.574116339769227,3.4676844153886135,-0.10643192438061355,-2.9778528246645055,win
gpp_query_pooling,DE-RuS_CRO_Merged,4.949142875018484,5.19152069551388,0.24237782049539636,4.897369637858579,loss
gpp_query_pooling,ES-HeB_ENF_Merged,2.0267574439803124,2.008221579829281,-0.01853586415103159,-0.9145575957342651,win
gpp_query_pooling,ES-LM2_SAV_Merged,1.5338937544440525,1.4570612512068235,-0.07683250323722901,-5.008984684540706,win
gpp_query_pooling,FR-CLt_GRA_Merged,3.783260939953519,4.166897967503897,0.3836370275503782,10.140379784511811,loss
gpp_query_pooling,FR-Mej_GRA_Merged,4.693949716210748,4.539149613554509,-0.15480010265623978,-3.297864528067509,win
gpp_query_pooling,IL-Yat_ENF_Merged,1.8618269129496747,2.2349689597241453,0.3731420467744706,20.041715165847783,loss
gpp_query_pooling,IT-BsB_DBF_Merged,2.7607259540221865,3.0393480167679097,0.2786220627457232,10.092347715273592,loss
gpp_query_pooling,IT-SR2_ENF_Merged,3.844075618386728,4.003789609481826,0.15971399109509798,4.154808774602784,loss
gpp_query_pooling,KR-ScC_ENF_Merged,3.0383912850859742,3.4417555401761972,0.403364255090223,13.275586231113397,loss
gpp_query_pooling,RU-Fy2_ENF_Merged,2.955399798618566,2.8456362019176273,-0.10976359670093849,-3.7140016302445775,win
gpp_query_pooling,RU-Fyo_ENF_Merged,2.705392035910339,2.7715193483469056,0.06612731243656667,2.4442783729240722,loss
gpp_query_pooling,US-CMW_DBF_Merged,2.1208246787029896,2.2588042855300543,0.13797960682706467,6.505941212993023,loss
gpp_query_pooling,US-CRK_ENF_Merged,2.5213084328640916,2.4709865378072466,-0.05032189505684492,-1.9958643060453154,win
gpp_query_pooling,US-MMS_DBF_Merged,2.8565423643319408,2.6324472754604304,-0.2240950888715103,-7.844976908785297,win
gpp_query_pooling,US-Mo1_CRO_Merged,5.989484076852802,6.408856171849021,0.41937209499621897,7.001806660058435,loss
gpp_query_pooling,US-Ne2_CRO_Merged,3.8560868092292764,4.167528901983398,0.3114420927541217,8.076635930724036,loss
gpp_query_pooling,US-Ro1_CRO_Merged,4.925120648107722,5.28856842717939,0.36344777907166836,7.3794695610412795,loss
gpp_query_pooling,US-SP1_ENF_Merged,3.0441867160293037,3.1168201872731696,0.07263347124386588,2.38597293856553,loss
gpp_query_pooling,US-SRG_GRA_Merged,1.9010046048695197,2.1220690887462617,0.22106448387674194,11.628824218019991,loss
gpp_query_pooling,US-SRM_WSA_Merged,1.6265273015517543,1.7451324570581992,0.1186051555064449,7.291925281136821,loss
gpp_query_pooling,US-TKs_CSH_Merged,1.3708988797332535,1.6862059051917757,0.3153070254585222,23.000020652134015,loss
gpp_query_pooling,US-UC1_CVM_Merged,3.4319509917109388,3.5484524431428204,0.11650145143188162,3.3946129100696125,loss
gpp_query_pooling,US-UMd_DBF_Merged,2.660874283223561,2.7921251163250758,0.13125083310151497,4.932620602522753,loss
gpp_query_pooling,US-Var_GRA_Merged,2.4498269796200827,2.6382280541008623,0.18840107448077958,7.690382873895718,loss
gpp_query_pooling,US-Wkg_GRA_Merged,1.5546375602373792,2.265435218788813,0.7107976585514337,45.72111704562839,loss
